--------------------------------------------,,,,,,,,,
Linear Kernel - samples combined,,,,,,,,,
--------------------------------------------,,,,,,,,,
C,in,out,in,out,in,out,avg-in,avg-out,
150,3**-8,97.66%,91.53%,97.40%,93.26%,97.53%,92.40%,,
200,3**-15,36.63%,38.40%,34.80%,33.66%,35.72%,36.03%,,
200,3**-14,10.15%,9.40%,69.11%,66.26%,39.63%,37.83%,,
200,3**-13,50.16%,50.46%,10.23%,10.80%,30.20%,30.63%,,
200,3**-12,79.80%,77.13%,9.80%,10.26%,44.80%,43.70%,,
200,3**-11,5.95%,6.60%,99.85%,94.13%,52.90%,50.37%,,
200,3**-10,10.03%,10.26%,91.70%,88.40%,50.87%,49.33%,,
200,3**-9,59.11%,58.60%,99.45%,94.60%,79.28%,76.60%,,
200,3**-8,97.18%,91.60%,97.03%,93.26%,97.11%,92.43%,,
200,3**-7,29.03%,28.47%,53.63%,51.80%,41.33%,40.14%,,
200,3**-5,86.37%,86.87%,86.73%,85.53%,86.55%,86.20%,,
200,3**-3,22.90%,22.27%,21.17%,19.40%,22.04%,20.84%,,
200,3**-1,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
200,3**0,10.23%,8.87%,9.97%,10.33%,10.10%,9.60%,,
200,3**1,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
200,3**3,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
200,3**5,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
200,3**7,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
500,3**-15,76.15%,76.06%,59.75%,60.73%,67.95%,68.40%,,
500,3**-14,11.16%,9.33%,28.38%,26.60%,19.77%,17.97%,,
500,3**-13,83.93%,83.06%,64.15%,64.73%,74.04%,73.90%,,
